sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,year,fl,tl,wt,liver_wt,sex,gonad_wt,full_gut_wt,empty_gut_wt,stom_content,number_content,content_wt,notes...14,,
LK1-M23-BEET-1,5.245724573,-24.59673267,-24.43260845,-26.47,4.31,lake,beetle,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK2-M23-BEET-1,5.632574902,-23.68375085,-23.66024055,-25.94,3.09,lake,beetle,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
OP2-22-127-M,3.908473293,-26.22061144,-25.60722132,-26.77,5.82,lake,bluntnose minnow,may,muscle,2022,83,95,8,,M,,,,NA,,,,,
OP5-22-136-L,6.132303672,-25.71901936,-25.88384566,-28.47,5.86,lake,bluntnose minnow,may,liver,2022,99,105,10,NA,M,NA,NA,NA,Algae and dog food,NA,NA,NA,,
OP9-22-33-M,3.925194588,-29.60405736,-28.99591716,-30.17,5.6,lake,bluntnose minnow,may,muscle,2022,88,94,8,,NA,,,,Dog food,NA,NA,NA,,
OP6-22-146-M,3.906003834,-26.9830562,-26.36889158,-27.53,6.4,lake,bluntnose minnow,may,muscle,2022,69,75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
OP6-S22-802-M,4.106985264,-27.03408459,-26.48363895,-27.78,5.81,lake,bluntnose minnow,august,muscle,2022,86,90,5.89,NA,IND,NA,NA,NA,too degraded,NA,NA,No liver,,
OP6-S22-803-M,3.935860878,-26.91349773,-26.30871141,-27.49,5.81,lake,bluntnose minnow,august,muscle,2022,83,87,5.34,NA,IND,NA,NA,NA,too degraded,NA,NA,No liver,,
OP7-22-266-M,3.805039291,-27.6330111,-26.98736087,-28.08,6.48,lake,bluntnose minnow,may,muscle,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
OP7-22-338-M,3.904675689,-27.19437107,-26.57978998,-27.74,5.89,lake,bluntnose minnow,may,muscle,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
OP9-22-279-L,6.554204289,-27.09133775,-27.42085964,-30.26,5.56,lake,bluntnose minnow,may,liver,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
OP9-22279M,3.993334668,-27.98659868,-27.39995153,-28.62,6.19,lake,bluntnose minnow,may,muscle,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M23-BNM-1-L,4.928719287,-30.31056791,-30.03468884,-31.87,3.99,creek,bluntnose minnow,may,liver,2023,76,83,5.5813,NA,F,0.7536,NA,0.1259,pink goo,NA,0.0317,NA,,
CR5-M23-BNM-1-M,4.100742757,-31.72026467,-31.16781917,-32.46,4.62,creek,bluntnose minnow,may,muscle,2023,76,83,5.5813,NA,F,0.7536,NA,0.1259,pink goo,NA,0.0317,NA,,
CR5-M23-BNM-2-M,3.90360307,-33.26543296,-32.65051557,-33.81,4,creek,bluntnose minnow,may,muscle,2023,70,74,3.962,NA,F,0.5805,NA,0.0943,Empty,NA,NA,NA,,
FN-A23-BNM-1-M,3.866229299,-31.12243299,-30.49582265,-31.63,5.77,creek,bluntnose minnow,august,muscle,2023,54,63,1.5357,to small,IND,To small,0.0453,0.0453,Empty,NA,NA,NA,,
FN-A23-BNM-2-M,3.751699732,-31.65581727,-30.99367597,-32.05,6.36,creek,bluntnose minnow,august,muscle,2023,63,69,2.2635,NA,F,0.0437,0.0565,0.0565,Empty,NA,NA,NA,,
FN-A23-BNM-3-M,3.785466929,-29.22238774,-28.57067479,-29.65,6.08,creek,bluntnose minnow,august,muscle,2023,65,72,8.484,NA,M,NA,0.0625,0.0625,Empty,NA,NA,NA,,
FN-A23-BNM-4-M,3.778281124,-31.26950169,-30.61556622,-31.69,6.41,creek,bluntnose minnow,august,muscle,2023,62,69,2.2786,NA,F,0.0379,NA,0.0797,Empty,NA,NA,NA,,
FN-M23-BM-1-M,4.00596527,-31.20409438,-30.62144873,-31.85,5.65,creek,bluntnose minnow,may,muscle,2023,56,64,2.3816,NA,F,NA,NA,NA,NA,NA,NA,NA,,
FN-M23-BNM-3-M,4.185756806,-27.60610076,-27.08100398,-28.43,5.91,creek,bluntnose minnow,may,muscle,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK1-M23-BNM-1-L,4.895221618,-28.3637306,-28.07622852,-29.89,5.79,lake,bluntnose minnow,may,liver,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK1-M23-BNM-1-M,3.832092288,-28.63622863,-27.99898021,-29.11,5.95,lake,bluntnose minnow,may,muscle,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK1-M23-BNM-5-L,5.020280626,-27.66992218,-27.42599548,-29.32,5.37,lake,bluntnose minnow,may,liver,2023,81,88,5.6217,NA,NA,too small,NA,0.0539,empty,NA,NA,NA,,
LK1-M23-BNM-5-M,3.9445938,-29.38485214,-28.78281469,-29.97,5.92,lake,bluntnose minnow,may,muscle,2023,81,88,5.6217,NA,NA,too small,NA,0.0539,empty,NA,NA,NA,,
LK10-M23-BNM-7-L,4.584604698,-28.06124135,-27.66768301,-29.28,6.09,lake,bluntnose minnow,may,liver,2023,66,72,2.52,NA,M,NA,NA,too small,NA,NA,NA,NA,,
LK10-M23-BNM-7-M,3.840622762,-27.92778347,-27.2931896,-28.41,5.79,lake,bluntnose minnow,may,muscle,2023,66,72,2.52,NA,M,NA,NA,too small,NA,NA,NA,NA,,
LK6-023-BNM-30-L,7.587876379,-28.51800238,-29.27205144,-32.71,4.86,lake,bluntnose minnow,october,liver,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK6-023-BNM-40-L,11.26553491,-24.20712044,-26.68694771,-32.04,4.25,lake,bluntnose minnow,october,liver,2023,83,90,5.7782,NA,IND,NA,0.2716,0.1394,Algae,NA,NA,NA,,
LK6-023-BNM-40-M,3.927110251,-28.64216085,-28.03462272,-29.21,5.16,lake,bluntnose minnow,october,muscle,2023,83,90,5.7782,NA,IND,NA,0.2716,0.1394,Algae,NA,NA,NA,,
LK7-M23-BNM-2-M,3.852220847,-26.87630136,-26.2453207,-27.37,6.22,lake,bluntnose minnow,may,muscle,2023,73,79,3.7246,NA,NA,too small,NA,0.0961,Empty,NA,NA,NA,,
LK7-M23-BNM-3-L,5.317885465,-23.86529339,-23.72704858,-25.81,5.27,lake,bluntnose minnow,may,liver,2023,85,92,8.1255,NA,NA,degraded,NA,0.2621,dog food,NA,0.1484,NA,,
LK7-M23-BNM-3-M,3.996180584,-24.58378122,-23.99803521,-25.22,5.6,lake,bluntnose minnow,may,muscle,2023,85,92,8.1255,NA,NA,degraded,NA,0.2621,dog food,NA,0.1484,NA,,
LK7-M23-BNM-4-M,3.931264974,-26.56804768,-25.96181575,-27.14,5.51,lake,bluntnose minnow,may,muscle,2023,83,89,6.6349,NA,M,0.0498,NA,0.133,Green/brown goo,NA,0.0369,NA,,
LK8-M23-BNM-10-M,3.802543106,-25.70548233,-25.05905813,-26.15,5.62,lake,bluntnose minnow,may,muscle,2023,83,90,6.9614,NA,M,0.0522,NA,0.3474,Dog food,NA,too degraded (stomach popped open before weighing),NA,,
LK8-M23-BNM-11-L,5.384159048,-25.01968254,-24.90534798,-27.03,4.58,lake,bluntnose minnow,may,liver,2023,89,96,9.4846,NA,M,0.0896,NA,0.448,Dog food,NA,too degraded (stomach popped open before weighing),NA,,
LK8-M23-BNM-11-M,3.957742628,-27.3918348,-26.79394116,-27.99,4.52,lake,bluntnose minnow,may,muscle,2023,89,96,9.4846,NA,M,0.0896,NA,0.448,Dog food,NA,too degraded (stomach popped open before weighing),NA,,
LK8-M23-BNM-12-L,6.212728972,-23.94939832,-24.14522359,-26.78,4.81,lake,bluntnose minnow,may,liver,2023,83,91,7.74,NA,M,0.1202,NA,0.3962,dog food,NA,0.0974,NA,,
LK8-M23-BNM-12-M,4.072677383,-27.66804939,-27.10662917,-28.38,4.97,lake,bluntnose minnow,may,muscle,2023,83,91,7.74,NA,M,0.1202,NA,0.3962,dog food,NA,0.0974,NA,,
LK8-M23-BNM-9-L,5.674720048,-24.12202715,-24.11411213,-26.42,4.76,lake,bluntnose minnow,may,liver,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK8-M23-BNM-9-M,4.048902851,-25.05158618,-24.48258433,-25.74,5.57,lake,bluntnose minnow,may,muscle,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK9-023-BNM-10-L,5.889911402,-27.12898771,-27.20153419,-29.64,4.78,lake,bluntnose minnow,october,liver,2023,87,92,7.0268,NA,M,0.0353,0.3832,0.2363,Algae,NA,NA,NA,,
LK9-023-BNM-10-M,3.861004665,-27.39760538,-26.76936428,-27.9,6.18,lake,bluntnose minnow,october,muscle,2023,87,92,7.0268,NA,M,0.0353,0.3832,0.2363,Algae,NA,NA,NA,,
LK9-023-BNM-20-L,6.264514378,-28.61813077,-28.83401559,-31.5,4.92,lake,bluntnose minnow,october,liver,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK9-023-BNM-20-M,3.81926318,-28.32892945,-27.68769355,-28.79,5.89,lake,bluntnose minnow,october,muscle,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK9-023-BNM-30-M,3.895318181,-30.523635,-29.9061214,-31.06,5.61,lake,bluntnose minnow,october,muscle,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK9-M23-BNM-1-M,3.970148524,-28.06955296,-27.47557445,-28.68,6.18,lake,bluntnose minnow,may,muscle,2023,-,-,-,NA,F,0.0582,NA,0.0384,Pink/green goo,NA,0.0239,NA,,
LK-M24-BNM-100-L,5.614122072,-27.9977,-27.66706718,-29.4,4.77,lake,bluntnose minnow,may,liver,2024,84,89,5.4086,too small,M,0.0344,0.238,0.1922,algae/dog food,NA,NA,NA,,
LK-M24-BNM-100-M,3.992202444,-25.2256,-25.1753605,-27.41,5.56,lake,bluntnose minnow,may,muscle,2024,84,89,5.4086,too small,M,0.0344,0.238,0.1922,algae/dog food,NA,NA,NA,,
LK1-A24-BNM-1-L,6.630253299,-25.7953,-25.38342198,-26.96,4.53,lake,bluntnose minnow,august,liver,2024,83,89,6.4,0.1821,IND,NA,NA,NA,NA,NA,NA,too degraded to sample gonads and stomach,,
LK1-A24-BNM-1-M,3.748146655,-24.2466,-24.23323191,-26.53,5.66,lake,bluntnose minnow,august,muscle,2024,83,89,6.4,0.1821,IND,NA,NA,NA,NA,NA,NA,too degraded to sample gonads and stomach,,
LK1-M24-BNM-2-L,6.420683716,-26.9259,-26.88669004,-29.14,5.59,lake,bluntnose minnow,may,liver,2024,87,95,7.1976,0.0969,M,0.0321,0.4208,0.3132,detritus/algae,NA,NA,NA,,
LK1-M24-BNM-2-M,3.979572886,-25.728,-25.76675931,-28.15,5.8,lake,bluntnose minnow,may,muscle,2024,87,95,7.1976,0.0969,M,0.0321,0.4208,0.3132,detritus/algae,NA,NA,NA,,
LK1-M24-BNM-3-L,6.315354569,-28.5502,-28.30617496,-30.2,5.02,lake,bluntnose minnow,may,liver,2024,88,94,7.3937,0.0483,M,0.0454,0.9592,0.046693,dog food,NA,NA,NA,,
LK1-M24-BNM-3-M,3.992590126,-27.7957,-27.74913397,-29.99,5.57,lake,bluntnose minnow,may,muscle,2024,88,94,7.3937,0.0483,M,0.0454,0.9592,0.046693,dog food,NA,NA,NA,,
LK1-M24-BNM-4-L,5.385012268,-27.2754,-27.21782269,-29.44,5.54,lake,bluntnose minnow,may,liver,2024,80,85,4.8908,too small,IND,n/a,0.2323,0.1754,algae,NA,NA,NA,,
LK1-M24-BNM-4-M,4.11153558,-25.0225,-25.23275471,-27.89,6.25,lake,bluntnose minnow,may,muscle,2024,80,85,4.8908,too small,IND,n/a,0.2323,0.1754,algae,NA,NA,NA,,
LK1-O24-BNM-1-M,3.90439454,-27.75464941,-27.13998016,-28.3,5.84,lake,bluntnose minnow,october,muscle,2024,92,97,8.3294,0.0866,M,0.0516,0.3669,0.3669,empty,NA,NA,NA,,
LK1-O24-BNM-1-M,3.90439454,-27.75464941,-27.13998016,-28.3,5.84,lake,bluntnose minnow,october,muscle,2024,92,97,8.3294,0.0866,M,0.0516,0.3669,0.3669,empty,NA,NA,NA,,
LK1-O24-BNM-2-L,15.47753516,-20.60724019,-25.40412294,-32.61,3.24,lake,bluntnose minnow,october,liver,2024,86,94,6.0969,too small,too degraded,too small,too small,too small,NA,NA,NA,NA,,
LK1-O24-BNM-2-M,3.989566582,-27.87032908,-27.28248923,-28.5,5.1,lake,bluntnose minnow,october,muscle,2024,86,94,6.0969,too small,too degraded,too small,too small,too small,NA,NA,NA,NA,,
LK10-M24-BNM-1-L,5.577836496,-25.9842,-25.88285268,-28.03,5.42,lake,bluntnose minnow,may,liver,2024,85,95,7.0007,0.0635,M,0.0389,0.3893,0.1546,Detritus/Dog food,NA,NA,NA,,
LK10-M24-BNM-1-M,4.110606944,-24.9138,-24.79796094,-26.92,5.38,lake,bluntnose minnow,may,muscle,2024,85,95,7.0007,0.0635,M,0.0389,0.3893,0.1546,Detritus/Dog food,NA,NA,NA,,
LK2-M24-BNM-8-L,6.260721367,-26.4472,-26.0994866,-27.8,4.72,lake,bluntnose minnow,may,liver,2024,85,91,7.0987,0.1106,M,0.0557,0.4887,0.2182,dog food,NA,NA,NA,,
LK2-M24-BNM-8-M,4.009064363,-25.1935,-25.06682454,-27.17,5.35,lake,bluntnose minnow,may,muscle,2024,85,91,7.0987,0.1106,M,0.0557,0.4887,0.2182,dog food,NA,NA,NA,,
LK2-M24-BNM-9-L,6.860799247,-27.1971,-26.8459802,-28.54,4.71,lake,bluntnose minnow,may,liver,2024,90,97,7.6201,too small,M,0.0392,0.6569,0.3926,dog food,NA,NA,NA,,
LK2-M24-BNM-9-M,4.230170159,-26.0344,-25.94031701,-28.1,5.44,lake,bluntnose minnow,may,muscle,2024,90,97,7.6201,too small,M,0.0392,0.6569,0.3926,dog food,NA,NA,NA,,
LK2-O24-BNM-1-L,9.122060148,-25.86916045,-27.30462549,-31.58,2.44,lake,bluntnose minnow,october,liver,2024,86,93,5.2562,too small,too degraded,too small,0.1773,0.0966,brown goo,NA,NA,NA,,
LK2-O24-BNM-1-M,3.87448293,-26.6742619,-26.05022968,-27.19,5.01,lake,bluntnose minnow,october,muscle,2024,86,93,5.2562,too small,too degraded,too small,0.1773,0.0966,brown goo,NA,NA,NA,,
LK2-O24-BNM-2-L,6.876238232,-27.20252415,-27.66115998,-30.69,4.16,lake,bluntnose minnow,october,liver,2024,90,95,5.1342,0.0734,M,0.0275,0.2224,0.1732,algae/detritus,NA,NA,NA,,
LK2-O24-BNM-2-M,4.019041867,-27.13114855,-26.55265144,-27.79,5.08,lake,bluntnose minnow,october,muscle,2024,90,95,5.1342,0.0734,M,0.0275,0.2224,0.1732,algae/detritus,NA,NA,NA,,
LK2-O24-BNM-3-L,5.389244965,-25.89464748,-25.78215343,-27.91,4.79,lake,bluntnose minnow,october,liver,2024,88,92,5.7878,0.0497,M,0.0022,0.1774,0.00751,algae/detritus,NA,NA,NA,,
LK2-O24-BNM-3-M,3.963066354,-24.90656431,-24.31035012,-25.51,5.4,lake,bluntnose minnow,october,muscle,2024,88,92,5.7878,0.0497,M,0.0022,0.1774,0.00751,algae/detritus,NA,NA,NA,,
LK2-O24-BNM-5-L,5.82537808,-27.7128757,-27.76114722,-30.16,4.21,lake,bluntnose minnow,october,liver,2024,87,92,5.8843,0.0764,M,0.0656,0.3984,0.2768,NA,NA,NA,NA,,
LK2-O24-BNM-5-M,3.999271457,-27.50072126,-26.91595426,-28.14,5.7,lake,bluntnose minnow,october,muscle,2024,87,92,5.8843,0.0764,M,0.0656,0.3984,0.2768,NA,NA,NA,NA,,
LK2-O24-BNM-6-L,7.432208,-25.11211408,-25.80037926,-29.15,4.4,lake,bluntnose minnow,october,liver,2024,89,93,6.6794,0.0335,M,0.0515,0.8785,0.6149,dog food,NA,NA,NA,,
LK2-O24-BNM-6-M,4.048031677,-27.06244864,-26.49316934,-27.75,5.4,lake,bluntnose minnow,october,muscle,2024,89,93,6.6794,0.0335,M,0.0515,0.8785,0.6149,dog food,NA,NA,NA,,
LK2-O24-BNM-7-L,6.715953085,-27.29120645,-27.68521558,-30.62,4.3,lake,bluntnose minnow,october,liver,2024,92,98,8.1394,too small,M,0.0925,0.6944,0.3822,dog food,NA,NA,NA,,
LK2-O24-BNM-7-M,3.937650719,-28.96172579,-28.35750265,-29.54,5.07,lake,bluntnose minnow,october,muscle,2024,92,98,8.1394,too small,M,0.0925,0.6944,0.3822,dog food,NA,NA,NA,,
LK1-O24-BNM-1-L,6.316813754,-27.10635438,-27.34257661,-30.04,4.42,lake,bluntnose minnow,october,liver,2024,92,97,8.3294,0.0866,M,0.0516,0.3669,0.3669,empty,NA,NA,NA,,
LK1-O24-BNM-1-L,6.316813754,-27.10635438,-27.34257661,-30.04,4.42,lake,bluntnose minnow,october,liver,2024,92,97,8.3294,0.0866,M,0.0516,0.3669,0.3669,empty,NA,NA,NA,,
LK1-O24-BNM-7-M,4.027402303,-26.40287172,-25.82703001,-27.07,5.57,lake,bluntnose minnow,october,muscle,2024,88,94,7.3015,0.0858,M,0.033,0.2406,NA,NA,NA,NA,NA,,
LK2-O24-BNM-4-M,4.182577585,-29.79924819,-29.27312426,-30.62,5.75,lake,bluntnose minnow,october,muscle,2024,83,87,5.0176,too small,too small,too small,too small,too small,NA,NA,NA,NA,,
FU-22-12-M,3.953155935,-29.87637562,-29.27703583,-30.47,6.93,creek,brassy minnow,may,muscle,2022,40,46,0.4041,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR1-M23-CA-1,6.634624342,-26.8117219,-27.33029776,-30.06,1.08,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR1-M23-CA-2,5.938884726,-27.45050412,-27.68686353,-30.01,2.34,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR1-M23-CA-3,6.308253704,-27.08482883,-27.31771695,-30.01,1.51,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A23-CADD-2,5.570150927,-30.44555058,-30.39904002,-32.64,3.77,creek,caddisfly,august,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A23-CADD-3,5.153869229,-31.79766946,-31.60083762,-33.58,4.33,creek,caddisfly,august,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A23-CADD-4,5.195855944,-31.73610262,-31.55418856,-33.56,4.17,creek,caddisfly,august,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M23-CA-1,5.988497031,-29.19138794,-29.30125739,-31.8,1.58,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M23-CA-100,5.307618657,-29.81545753,-29.67352081,-31.75,3.07,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M23-CA-2,6.156182762,-28.57537907,-28.7493896,-31.35,1.61,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M23-CADD-1,5.806660076,-32.01140652,-32.0526603,-34.44,4.11,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M23-CADD-1,5.806660076,-32.01140652,-32.0526603,-34.44,4.11,creek,caddisfly,may,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR8-M23-CA-1,6.312926484,-26.74020278,-26.97491067,-29.67,2.18,creek,caddisfly,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A24-CD-1,4.883914958,-32.249,-31.96315373,-33.78,4.9,creek,caddisfly,august,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A24-CD-2,5.325078164,-31.7619,-31.57790202,-33.58,5.19,creek,caddisfly,august,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A24-CD-3,5.47391082,-30.8188,-30.88761013,-33.32,5.88,creek,caddisfly,august,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-A24-CD-6,5.029087384,-35.7155,-34.70892777,-34.92,2.55,creek,caddisfly,august,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M24-CD-1,6.134372179,-32.9325,-32.76990458,-34.81,5.25,creek,caddisfly,may,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M24-CD-2,5.952805457,-33.3707,-33.14423542,-35.07,5.07,creek,caddisfly,may,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M24-CD-3,5.778238765,-33.2319,-33.04790202,-35.05,5.19,creek,caddisfly,may,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-M24-CD-4,6.258612985,-33.5417,-33.35059285,-35.34,5.17,creek,caddisfly,may,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-O24-CD-1,5.072988409,-32.26774148,-32.04232895,-33.97,5.83,creek,caddisfly,october,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-O24-CD-2,4.858272903,-32.16030983,-31.86002892,-33.65,5.8,creek,caddisfly,october,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR5-O24-CD-3,5.465802296,-32.09885573,-32.01416272,-34.19,5.47,creek,caddisfly,october,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR9-A23-CP-1,8.122228378,-23.84899391,-24.83366838,-28.57,0.33,creek,caterpillar,august,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK2-M23-CT-1,6.833206115,-27.52512595,-27.96634109,-30.97,2.73,lake,caterpillar,may,N/A,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
EF1-A22-TB,6.030197237,-27.37010474,-27.49584769,-30.02,0.2,creek,catterpillar,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LK-A24-CAT-1,4.577623347,-33.392,-31.87706082,-30.27,0.2,lake,catterpillar,august,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CR1-O24-CI-1-L,4.75184109,-25.90567732,-25.56883185,-27.29,3.39,creek,cisco,october,liver,2024,107,118,10.2457,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
CR1-O24-CI-1-M,3.708060267,-23.92902034,-23.25346076,-24.28,3.15,creek,cisco,october,muscle,2024,107,118,10.2457,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
CR1-O24-CI-2-L,4.721343597,-27.46586984,-27.11861437,-28.82,4.31,creek,cisco,october,liver,2024,95,110,8.6573,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
CR1-O24-CI-2-M,3.705693575,-25.37136336,-24.69507798,-25.72,4,creek,cisco,october,muscle,2024,95,110,8.6573,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
CR1-O24-CI-3-L,5.014875041,-26.99527371,-26.74945321,-28.64,4.4,creek,cisco,october,liver,2024,106,114,9.1767,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
CR1-O24-CI-3-M,3.681473355,-24.94534138,-24.2616395,-25.27,3.93,creek,cisco,october,muscle,2024,106,114,9.1767,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
CR1-O24-CI-4-L,4.75951941,-26.95807578,-26.62385597,-28.35,4.17,creek,cisco,october,liver,2024,108,118,10.644,NA,NA,NA,NA,NA,zooplankton or amphipod,2,NA,NA,,
CR1-O24-CI-4-M,3.69317239,-24.88375933,-24.20363726,-25.22,4.18,creek,cisco,october,muscle,2024,108,118,10.644,NA,NA,NA,NA,NA,zooplankton or amphipod,2,NA,NA,,
CR1-O24-CI-5-L,4.786493907,-27.45137103,-27.12639044,-28.87,4.36,creek,cisco,october,liver,2024,105,112,8.9269,NA,NA,NA,NA,NA,invert parts - maybe small zooplankton,2,NA,NA,,
CR1-O24-CI-5-M,3.713365818,-25.39376784,-24.71983606,-25.75,3.92,creek,cisco,october,muscle,2024,105,112,8.9269,NA,NA,NA,NA,NA,invert parts - maybe small zooplankton,2,NA,NA,,
CR1-O24-CI-6-L,4.760924119,-27.49668512,-27.16294587,-28.89,4.02,creek,cisco,october,liver,2024,108,119,10.5136,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
CR1-O24-CI-6-M,3.74366385,-25.15377279,-24.48915562,-25.54,4.36,creek,cisco,october,muscle,2024,108,119,10.5136,NA,NA,NA,NA,NA,empty,NA,NA,NA,,
